"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
9377,63,"2018-04-01 00:03:59",117576831,"2018-04-01 00:03:58",1,"2018-04-08 00:10:30",999,969,147,"Деньги от Payment Ninja",fb,SendMessage,CH,topfacemobappandroid,pn.sub.vip.month.10
9499,63,"2018-04-03 14:54:44",117645401,"2018-04-03 14:54:43",3,"2018-04-08 18:07:09",100,97,19,"Деньги от Payment Ninja",gp,EmptyLikes,IN,topfacemobappandroid,pn.coins.6.1
,,,117575541,"2018-03-31 22:55:57",4,"2018-05-04 01:18:27",1869,1308,147,"Деньги от Google Play",fb,TrialVipPopup,FR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9435,63,"2018-04-03 05:46:29",117637858,"2018-04-03 05:46:27",3,"2018-04-06 07:49:41",1409,986,147,"Деньги от Google Play",fb,AutoReplyMessage,CA,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9404,63,"2018-04-01 14:37:16",117588515,"2018-04-01 14:37:15",1,"2018-04-01 14:47:34",510,138,68,"Деньги от PaymentWall (mobile)",fb,none,RS,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
8786,42,"2018-04-04 12:29:13",117666534,"2018-04-04 12:29:12",1,"2018-04-04 21:50:21",339,237,146,"Деньги от Google Play",vk,EmptyLikes,UA,topfacemobappandroid,com.topface.topface.sub.coins.month.100.10
9419,63,"2018-04-01 18:32:55",117594151,"2018-04-01 18:32:51",1,"2018-04-08 09:53:44",510,49,68,"Деньги от PaymentWall (mobile)",fb,none,RO,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
9580,63,"2018-04-02 05:01:56",117609326,"2018-04-02 05:01:54",2,"2018-05-02 07:33:52",100,70,77,"Деньги от Google Play",fb,BadaboomFilterScreen,MX,topfacemobappandroid,com.topface.topface.bombmsg.1
9568,63,"2018-04-03 20:44:26",117652227,"2018-04-03 20:44:24",10,"2018-04-05 16:35:10",91,63,19,"Деньги от Google Play",fb,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.coins.6.1
,,,117643276,"2018-04-03 12:34:51",7,"2018-04-09 23:58:38",1399,979,147,"Деньги от Google Play",gp,promo.key31,US,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9459,63,"2018-03-31 18:47:44",117570619,"2018-03-31 18:47:39",1,"2018-03-31 18:53:42",499,484,147,"Деньги от Payment Ninja",fb,LeftMenu,MD,topfacemobappandroid,pn..sub.vip.month.5
9465,63,"2018-04-02 15:38:41",117620427,"2018-04-02 15:38:03",9,"2018-04-13 02:30:00",100,97,19,"Деньги от Payment Ninja",fb,autorefill,BJ,topfacemobappandroid,pn.coins.6.1
9499,63,"2018-04-01 21:59:57",117600540,"2018-04-01 21:59:56",1,"2018-04-01 22:14:32",286,200,67,"Деньги от Google Play",gp,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.likes.100.3
9615,33,"2018-04-01 17:44:52",117592795,"2018-04-01 17:44:51",1,"2018-04-01 19:14:36",540,524,147,"Деньги от Payment Ninja",fb,AutoReplyMessage,FR,topfacemobappandroid,pn..sub.vip.month.5
8786,42,"2018-04-02 21:31:18",117629261,"2018-04-02 21:29:00",24,"2018-04-23 09:39:51",500,485,19,"Деньги от Ninja",st,sympathy_access,UA,standalonetf,coin.two
9500,63,"2018-04-01 20:04:31",117596832,"2018-04-01 20:04:30",4,"2018-05-04 22:04:41",1398,978,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117565044,"2018-03-31 12:45:08",3,"2018-04-11 00:28:58",968,677,147,"Деньги от Google Play",gp,PopularUserChatBlock,TR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
8786,42,"2018-04-03 04:11:21",117636748,"2018-04-03 04:11:20",3,"2018-04-13 16:15:06",456,319,146,"Деньги от Google Play",fb,EmptyLikes,DE,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
,,,117617286,"2018-04-02 13:04:06",5,"2018-04-05 12:14:35",122,62,57,Голоса,vk,super_from_side_menu,UA,topface,premium.1
9522,63,"2018-04-03 23:57:12",117656569,"2018-04-03 23:57:11",18,"2018-05-04 22:15:12",88,61,146,"Деньги от Google Play",fb,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
9499,63,"2018-03-31 10:04:50",117563147,"2018-03-31 10:04:48",5,"2018-04-01 16:33:47",100,97,19,"Деньги от Payment Ninja",gp,EmptyLikes,IN,topfacemobappandroid,pn.coins.6.1
8786,42,"2018-03-31 19:43:43",117571639,"2018-03-31 19:43:42",1,"2018-04-30 18:22:04",431,301,147,"Деньги от Google Play",st,LeftMenu,UA,topfacemobappandroid,com.topface.topface.sub.vip.month.5
9560,63,"2018-04-02 06:58:33",117611056,"2018-04-02 06:58:31",1,"2018-04-03 04:05:24",510,510,68,"Деньги от PaymentWall (mobile)",gp,none,JP,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
9395,63,"2018-04-02 20:44:59",117628002,"2018-04-02 20:44:57",1,"2018-04-05 10:53:05",518,362,147,"Деньги от Google Play",fb,PopularUserChatBlock,IN,topfacemobappandroid,com.topface.topface.sub.vip.month.5
8908,42,"2018-04-01 08:06:32",117582323,"2018-04-01 08:06:31",4,"2018-04-02 09:30:07",506,354,146,"Деньги от Google Play",gp,EmptyLikes,US,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
,,,117667621,"2018-04-04 13:33:19",2,"2018-04-25 11:31:35",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid,pn.likes.100.3
9432,63,"2018-03-31 21:04:47",117573205,"2018-03-31 21:04:46",2,"2018-04-09 21:28:20",300,291,67,"Деньги от Payment Ninja",gp,EmptyLikes,PE,topfacemobappandroid,pn.likes.100.3
,,,117590598,"2018-04-01 16:17:41",1,"2018-04-18 10:45:05",999,969,147,"Деньги от Payment Ninja",st,Visitors,KZ,topfacemobappandroid,pn.sub.vip.month.10
9568,63,"2018-04-01 12:18:05",117586020,"2018-04-01 12:18:03",4,"2018-04-04 14:18:12",1096,767,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.10.3daysfree
9552,63,"2018-04-01 21:50:48",117600234,"2018-04-01 21:50:47",4,"2018-05-04 23:50:54",1398,978,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9469,63,"2018-04-03 10:00:27",117641182,"2018-04-03 10:00:24",2,"2018-04-03 10:04:11",510,133,68,"Деньги от PaymentWall (mobile)",fb,none,SA,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
