"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
9485,63,"2018-04-02 17:24:06",117622766,"2018-04-02 17:24:05",1,"2018-04-02 17:31:51",516,309,19,"Деньги от PaymentWall (mobile)",gp,none,DE,topfacemobappandroid,com.topface.topface.buy.sms.coins.30
8786,42,"2018-04-01 13:23:29",117587116,"2018-04-01 13:21:17",24,"2018-04-01 19:47:27",100,97,19,"Деньги от Payment Ninja",st,autorefill,UA,topfacemobappandroid,pn.coins.6.1
,,,117710948,"2018-04-06 15:21:56",3,"2018-04-09 18:12:30",984,688,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9602,63,"2018-04-06 06:09:58",117705619,"2018-04-06 06:09:57",3,"2018-04-10 23:27:59",300,291,67,"Деньги от Payment Ninja",fb,Gifts,CM,topfacemobappandroid,pn.likes.100.3
,,,117702090,"2018-04-05 23:53:22",1,"2018-04-06 21:15:04",561,392,147,"Деньги от Google Play",st,LeftMenu,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
9602,63,"2018-04-06 06:09:58",117705619,"2018-04-06 06:09:57",5,"2018-04-10 23:37:58",100,97,19,"Деньги от Payment Ninja",fb,Gifts,CM,topfacemobappandroid,pn.coins.6.1
,,,117572875,"2018-03-31 20:48:48",1,"2018-03-31 20:49:42",2542,1779,147,"Деньги от Google Play",fb,LeftMenu,CL,topfacemobappandroid,com.topface.topface.sub.vip.month.3.2699.v1
9453,63,"2018-04-02 07:51:58",117611923,"2018-04-02 07:51:56",14,"2018-04-07 12:05:05",510,89,68,"Деньги от PaymentWall (mobile)",fb,none,IN,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
8786,42,"2018-04-03 15:08:11",117645672,"2018-04-03 15:08:09",3,"2018-04-12 10:54:18",118,82,67,"Деньги от Google Play",vk,EmptyLikes,UA,topfacemobappandroid,com.topface.topface.likes.100.3
5611,45,"2018-04-02 21:33:59",117629424,"2018-04-02 21:33:59",1,"2018-04-06 02:48:34",1004,702,147,"Деньги от Google Play",ok,Fans,AM,topfacemobappandroidok,com.topface.topface.sub.vip.month.10
,,,117648212,"2018-04-03 17:42:25",1,"2018-04-13 17:35:33",999,969,147,"Деньги от Payment Ninja",fb,Dating,DZ,topfacemobappandroid,pn.sub.vip.month.10
,,,117654409,"2018-04-03 22:16:33",3,"2018-04-07 00:16:43",1438,1006,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117667599,"2018-04-04 13:32:10",4,"2018-04-12 04:32:26",500,485,19,"Деньги от Payment Ninja",st,EmptyLikes,KZ,topfacemobappandroid,pn.coins.40.5
9485,63,"2018-04-01 11:10:10",117584826,"2018-04-01 11:10:09",1,"2018-04-10 18:11:35",393,275,146,"Деньги от Google Play",fb,EmptyLikes,SE,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9389,63,"2018-04-02 16:04:55",117620990,"2018-04-02 16:04:53",3,"2018-04-05 18:05:06",1600,1120,147,"Деньги от Google Play",gp,TrialVipPopup,FJ,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9531,63,"2018-04-03 01:08:01",117634458,"2018-04-03 01:08:00",1,"2018-04-04 16:03:10",510,176,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
8786,42,"2018-04-02 18:12:36",117623982,"2018-04-02 18:12:35",14,"2018-04-05 12:56:01",38,26,19,"Деньги от Google Play",gp,EmptyLikes,UA,topfacemobappandroid,com.topface.topface.coins.6.1
9720,33,"2018-04-05 01:43:18",117682912,"2018-04-05 01:43:17",3,"2018-04-08 03:49:46",1932,1352,147,"Деньги от Google Play",gp,SendMessage,ES,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9582,63,"2018-04-02 11:23:37",117615451,"2018-04-02 11:23:35",4,"2018-04-02 12:45:08",572,400,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
8786,42,"2018-04-02 22:14:07",117630528,"2018-04-02 22:14:06",26,"2018-04-05 09:46:51",100,97,19,"Деньги от Payment Ninja",gp,autorefill,UA,topfacemobappandroid,pn.coins.6.1
9389,63,"2018-04-02 08:53:47",117612931,"2018-04-02 08:53:46",4,"2018-04-05 10:53:53",1436,1005,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117576422,"2018-03-31 23:40:55",2,"2018-04-07 10:02:15",1080,1048,19,"Деньги от Payment Ninja",st,EmptyLikes,FR,topfacemobappandroid,pn.coins.100.10
9464,63,"2018-04-06 09:34:50",117706817,"2018-04-06 09:34:49",7,"2018-04-15 02:29:25",500,485,19,"Деньги от Payment Ninja",gp,EmptyLikes,PE,topfacemobappandroid,pn.coins.40.5
9503,63,"2018-04-06 07:52:54",117706217,"2018-04-06 07:52:52",14,"2018-04-14 10:34:16",90,62,19,"Деньги от Google Play",gp,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.coins.6.1
9615,33,"2018-04-06 00:54:06",117702853,"2018-04-06 00:54:03",1,"2018-04-06 01:06:00",9696,9405,147,"Деньги от Payment Ninja",fb,AutoReplyMessage,FR,topfacemobappandroid,pn.sub.vip.year.90
9615,33,"2018-04-06 00:54:06",117702853,"2018-04-06 00:54:03",4,"2018-04-11 23:10:40",110,107,19,"Деньги от Payment Ninja",fb,EmptyLikes,FR,topfacemobappandroid,pn.coins.6.1
9553,63,"2018-04-02 17:17:09",117622599,"2018-04-02 17:17:08",2,"2018-04-04 12:07:55",516,89,67,"Деньги от PaymentWall (mobile)",gp,none,QA,topfacemobappandroid,com.topface.topface.buy.sms.likes.1
9431,63,"2018-04-02 13:29:02",117617811,"2018-04-02 13:29:01",5,"2018-04-05 15:29:10",1436,1005,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9453,63,"2018-04-03 19:22:46",117650165,"2018-04-03 19:22:43",3,"2018-04-06 21:22:51",1284,898,147,"Деньги от Google Play",gp,TrialVipPopup,PK,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
597,12,"2018-04-01 12:50:04",117586565,"2018-04-01 12:50:04",1,"2018-04-01 13:38:39",234,9,19,"Деньги от PaymentWall (mobile)",st,none,US,topfacemobappandroid,com.topface.topface.buy.sms.coins.8
9221,42,"2018-04-03 16:52:48",117647391,"2018-04-03 16:52:47",2,"2018-04-04 04:53:14",999,699,147,"Деньги от Google Play",gp,TrialVipPopup,TR,standalonetf,com.topface.topface.sub.trial.vip.month.13.3daysfree
9453,63,"2018-04-02 07:51:58",117611923,"2018-04-02 07:51:56",25,"2018-04-17 15:59:37",516,88,67,"Деньги от PaymentWall (mobile)",fb,none,IN,topfacemobappandroid,com.topface.topface.buy.sms.likes.1
8786,42,"2018-03-31 21:48:49",117574090,"2018-03-31 21:48:47",5,"2018-04-08 19:43:28",100,97,19,"Деньги от Payment Ninja",fb,autorefill,UA,topfacemobappandroid,pn.coins.6.1
9568,63,"2018-04-03 07:43:24",117639335,"2018-04-03 07:43:22",3,"2018-04-06 09:43:37",1437,1005,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
8786,42,"2018-04-01 12:12:11",117585831,"2018-04-01 12:07:16",1,"2018-04-01 12:52:55",38,26,146,"Деньги от Google Play",st,AdToPhotoBlog,UA,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
5611,45,"2018-03-31 11:27:09",117564066,"2018-03-31 11:25:16",1,"2018-03-31 13:10:53",307,298,147,"Деньги от Payment Ninja",st,LeftMenu,RU,topfacemobappandroid,pn.sub.vip.week.3
8870,33,"2018-04-01 00:15:13",117577046,"2018-04-01 00:15:11",6,"2018-04-03 08:10:49",999,969,147,"Деньги от Payment Ninja",st,PopularUserChatBlock,AZ,topfacemobappandroid,pn.sub.vip.month.10
8786,42,"2018-04-02 22:14:07",117630528,"2018-04-02 22:14:06",10,"2018-04-04 17:43:57",100,97,19,"Деньги от Payment Ninja",gp,EmptyLikes,UA,topfacemobappandroid,pn.coins.6.1
