"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
,,,117703943,"2018-04-06 02:43:23",1,"2018-04-20 03:42:06",393,275,147,"Деньги от Google Play",st,Dating,UA,topfacemobappandroid,com.topface.topface.sub.vip.month.10
,,,117702090,"2018-04-05 23:53:22",1,"2018-04-06 21:15:04",561,392,147,"Деньги от Google Play",st,LeftMenu,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
,,,117681392,"2018-04-05 00:09:01",4,"2018-04-09 02:10:45",1965,1375,147,"Деньги от Google Play",fb,LeftMenu,KR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117572875,"2018-03-31 20:48:48",1,"2018-03-31 20:49:42",2542,1779,147,"Деньги от Google Play",fb,LeftMenu,CL,topfacemobappandroid,com.topface.topface.sub.vip.month.3.2699.v1
,,,117694331,"2018-04-05 16:32:24",4,"2018-04-06 21:47:43",273,191,146,"Деньги от Google Play",st,EmptyLikes,TR,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
,,,117690589,"2018-04-05 12:12:08",3,"2018-04-08 23:12:45",1917,1341,147,"Деньги от Google Play",st,TrialVipPopup,FR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117599829,"2018-04-01 21:38:30",3,"2018-04-04 20:18:33",339,237,146,"Деньги от Google Play",st,EmptyLikes,UA,topfacemobappandroid,com.topface.topface.sub.coins.month.100.10
,,,117576422,"2018-03-31 23:40:55",1,"2018-04-06 18:16:43",1077,1044,147,"Деньги от Payment Ninja",st,promo.key31,FR,topfacemobappandroid,pn.sub.vip.month.10
,,,117648212,"2018-04-03 17:42:25",1,"2018-04-13 17:35:33",999,969,147,"Деньги от Payment Ninja",fb,Dating,DZ,topfacemobappandroid,pn.sub.vip.month.10
,,,117590684,"2018-04-01 16:21:26",3,"2018-04-02 11:53:46",86,60,146,"Деньги от Google Play",gp,EmptyLikes,ES,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
,,,117702168,"2018-04-05 23:59:13",1,"2018-04-08 21:31:14",910,637,147,"Деньги от Google Play",gp,Dating,IT,topfacemobappandroid,com.topface.topface.sub.vip.month.10
,,,117651190,"2018-04-03 20:01:43",3,"2018-04-06 22:01:51",1914,1339,147,"Деньги от Google Play",gp,TrialVipPopup,AT,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117654409,"2018-04-03 22:16:33",3,"2018-04-07 00:16:43",1438,1006,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117667599,"2018-04-04 13:32:10",4,"2018-04-12 04:32:26",500,485,19,"Деньги от Payment Ninja",st,EmptyLikes,KZ,topfacemobappandroid,pn.coins.40.5
,,,117703943,"2018-04-06 02:43:23",9,"2018-05-07 00:25:09",103,72,77,"Деньги от Google Play",st,BadaboomFilterScreen,UA,topfacemobappandroid,com.topface.topface.bombmsg.1
,,,117667599,"2018-04-04 13:32:10",3,"2018-04-07 15:33:09",851,595,147,"Деньги от Google Play",st,TrialVipPopup,KZ,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
597,12,"2018-04-01 02:49:22",117579107,"2018-04-01 02:49:22",12,"2018-04-02 22:25:23",75,52,146,"Деньги от Google Play",st,EmptyLikes,BR,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
597,12,"2018-04-04 06:05:19",117661375,"2018-04-04 06:05:19",3,"2018-04-08 09:11:25",1593,1115,147,"Деньги от Google Play",st,TrialVipPopup,JO,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117576422,"2018-03-31 23:40:55",2,"2018-04-07 10:02:15",1080,1048,19,"Деньги от Payment Ninja",st,EmptyLikes,FR,topfacemobappandroid,pn.coins.100.10
597,12,"2018-04-01 12:50:04",117586565,"2018-04-01 12:50:04",17,"2018-04-13 20:40:58",234,9,19,"Деньги от PaymentWall (mobile)",st,none,US,topfacemobappandroid,com.topface.topface.buy.sms.coins.8
,,,117599829,"2018-04-01 21:38:30",13,"2018-05-04 22:19:06",338,236,146,"Деньги от Google Play",st,Dating,UA,topfacemobappandroid,com.topface.topface.sub.coins.month.100.10
,,,117573793,"2018-03-31 21:33:38",3,"2018-04-03 23:33:45",1134,793,147,"Деньги от Google Play",vk,TrialVipPopup,RU,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117707474,"2018-04-06 11:14:00",4,"2018-04-10 13:16:29",979,685,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9553,63,"2018-04-02 17:17:09",117622599,"2018-04-02 17:17:08",2,"2018-04-04 12:07:55",516,89,67,"Деньги от PaymentWall (mobile)",gp,none,QA,topfacemobappandroid,com.topface.topface.buy.sms.likes.1
