"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
8786,42,"2018-04-01 20:02:11",117596764,"2018-04-01 20:02:10",54,"2018-04-10 12:45:53",1000,970,19,"Деньги от Payment Ninja",gp,EmptyLikes,UA,topfacemobappandroid,pn.coins.100.10
9389,63,"2018-04-02 08:53:47",117612931,"2018-04-02 08:53:46",3,"2018-04-05 08:23:42",286,200,67,"Деньги от Google Play",gp,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.likes.100.3
9602,63,"2018-04-06 06:09:58",117705619,"2018-04-06 06:09:57",15,"2018-04-12 07:53:47",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,CM,topfacemobappandroid,pn.coins.6.1
9485,63,"2018-04-01 22:15:30",117601019,"2018-04-01 22:15:29",2,"2018-04-03 10:13:39",540,524,19,"Деньги от Payment Ninja",fb,EmptyLikes,CY,topfacemobappandroid,pn.coins.40.5
8870,33,"2018-04-01 00:15:13",117577046,"2018-04-01 00:15:11",3,"2018-04-02 23:40:31",500,485,19,"Деньги от Payment Ninja",st,Gifts,AZ,topfacemobappandroid,pn.coins.40.5
9485,63,"2018-03-31 18:52:00",117570684,"2018-03-31 18:51:56",4,"2018-04-03 20:52:42",1586,1110,147,"Деньги от Google Play",gp,TrialVipPopup,GB,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
8786,42,"2018-04-01 13:23:29",117587116,"2018-04-01 13:21:17",17,"2018-04-01 16:07:22",100,97,19,"Деньги от Payment Ninja",st,autorefill,UA,topfacemobappandroid,pn.coins.6.1
8786,42,"2018-04-02 18:12:36",117623982,"2018-04-02 18:12:35",3,"2018-04-03 12:10:41",38,26,146,"Деньги от Google Play",gp,EmptyLikes,UA,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
9500,63,"2018-04-06 15:21:18",117710939,"2018-04-06 15:21:16",4,"2018-04-09 17:21:26",1438,1006,147,"Деньги от Google Play",gp,TrialVipPopup,IN,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9453,63,"2018-04-02 07:51:58",117611923,"2018-04-02 07:51:56",29,"2018-04-17 16:03:09",510,88,68,"Деньги от PaymentWall (mobile)",fb,none,IN,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
5609,45,"2018-03-31 05:05:49",117560328,"2018-03-31 05:05:47",1,"2018-04-23 20:04:42",999,969,147,"Деньги от Payment Ninja",gp,PopularUserBlockDialog,TR,topfacemobappandroid,pn.sub.vip.month.10
9503,63,"2018-04-06 07:52:54",117706217,"2018-04-06 07:52:52",6,"2018-04-08 19:23:50",91,63,19,"Деньги от Google Play",gp,EmptyLikes,IN,topfacemobappandroid,com.topface.topface.coins.6.1
8786,42,"2018-04-01 23:09:52",117602746,"2018-04-01 23:09:50",9,"2018-04-13 19:54:59",500,485,19,"Деньги от Payment Ninja",gp,EmptyLikes,UA,topfacemobappandroid,pn.coins.40.5
9485,63,"2018-04-01 11:30:06",117585174,"2018-04-01 11:29:50",3,"2018-04-03 01:02:37",540,524,19,"Деньги от Payment Ninja",gp,EmptyLikes,LV,topfacemobappandroid,pn.coins.40.5
9567,63,"2018-03-31 21:24:22",117573604,"2018-03-31 21:24:21",13,"2018-04-30 04:15:22",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,MX,topfacemobappandroid,pn.likes.100.3
9411,63,"2018-04-06 14:46:07",117710339,"2018-04-06 14:46:05",3,"2018-04-09 16:46:17",1457,1019,147,"Деньги от Google Play",fb,TrialVipPopup,SA,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9741,63,"2018-04-05 23:22:16",117701629,"2018-04-05 23:22:14",2,"2018-04-07 16:28:24",348,243,146,"Деньги от Google Play",fb,EmptyLikes,BR,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9453,63,"2018-04-02 07:51:58",117611923,"2018-04-02 07:51:56",20,"2018-04-10 12:33:41",516,89,19,"Деньги от PaymentWall (mobile)",fb,none,IN,topfacemobappandroid,com.topface.topface.buy.sms.coins.30
9630,63,"2018-04-01 21:18:26",117599175,"2018-04-01 21:18:24",1,"2018-04-03 18:04:08",500,485,19,"Деньги от Payment Ninja",gp,EmptyLikes,MY,topfacemobappandroid,pn.coins.40.5
9690,63,"2018-03-31 22:53:49",117575483,"2018-03-31 22:53:48",1,"2018-03-31 23:02:58",4999,3499,147,"Деньги от Google Play",fb,ownProfile,US,topfacemobappandroid,com.topface.topface.sub.vip.month.6.4999.v1
9523,63,"2018-04-02 03:19:50",117607789,"2018-04-02 03:19:49",6,"2018-05-05 05:29:54",943,660,147,"Деньги от Google Play",gp,AutoReplyMessage,TR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9485,63,"2018-04-01 15:23:08",117589415,"2018-04-01 15:23:07",17,"2018-05-01 17:32:14",890,623,147,"Деньги от Google Play",gp,AutoReplyMessage,NL,topfacemobappandroid,com.topface.topface.sub.vip.month.10
9469,63,"2018-03-31 08:42:54",117562301,"2018-03-31 08:42:53",1,"2018-04-10 11:40:28",999,969,147,"Деньги от Payment Ninja",gp,promo.key31,AE,topfacemobappandroid,pn.sub.vip.month.10
9741,63,"2018-04-05 23:22:16",117701629,"2018-04-05 23:22:14",1,"2018-04-07 16:27:59",209,146,67,"Деньги от Google Play",fb,EmptyLikes,BR,topfacemobappandroid,com.topface.topface.likes.100.3
8786,42,"2018-04-01 13:23:29",117587116,"2018-04-01 13:21:17",4,"2018-04-01 13:46:53",8999,8729,147,"Деньги от Payment Ninja",st,UserProfileFragment,UA,topfacemobappandroid,pn.sub.vip.year.90
9615,33,"2018-04-06 00:54:06",117702853,"2018-04-06 00:54:03",6,"2018-04-11 23:10:59",543,527,19,"Деньги от Payment Ninja",fb,EmptyLikes,FR,topfacemobappandroid,pn.coins.40.5
6169,45,"2018-03-31 15:58:29",117567804,"2018-03-31 15:58:21",4,"2018-05-01 19:24:02",894,625,147,"Деньги от Google Play",st,LeftMenu,BY,topfacemobappandroid,com.topface.topface.sub.vip.month.10
8786,42,"2018-03-31 21:48:49",117574090,"2018-03-31 21:48:47",2,"2018-03-31 22:32:19",100,97,19,"Деньги от Payment Ninja",fb,AdToPhotoBlog,UA,topfacemobappandroid,pn.coins.6.1
9526,63,"2018-04-02 12:50:55",117617030,"2018-04-02 12:50:54",1,"2018-04-02 13:19:07",279,195,146,"Деньги от Google Play",gp,EmptyLikes,TR,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9526,63,"2018-04-02 12:50:55",117617030,"2018-04-02 12:50:54",4,"2018-04-02 13:26:22",572,400,147,"Деньги от Google Play",gp,AutoReplyMessage,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
8786,42,"2018-04-01 13:23:29",117587116,"2018-04-01 13:21:17",20,"2018-04-01 16:07:48",100,97,19,"Деньги от Payment Ninja",st,autorefill,UA,topfacemobappandroid,pn.coins.6.1
9492,63,"2018-04-02 10:47:06",117614828,"2018-04-02 10:46:43",4,"2018-05-05 12:46:54",1358,950,147,"Деньги от Google Play",fb,TrialVipPopup,CH,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9485,63,"2018-04-01 02:08:16",117578653,"2018-04-01 02:08:02",3,"2018-04-04 04:34:08",1898,1328,147,"Деньги от Google Play",gp,LeftMenu,DE,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
