"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
,,,118063667,"2018-04-21 19:29:30",2,"2018-05-06 07:48:05",397,277,67,"Деньги от iTunes",fb,FromMenu,RU,topfacemobappios,com.topface.topface.buy.likes.1
,,,118217282,"2018-04-28 19:06:05",1,"2018-04-28 19:24:18",1369,958,147,"Деньги от iTunes",st,FromGuests,RU,topfacemobappios,com.topface.topface.premium.month.1
,,,118387520,"2018-05-05 00:46:11",1,"2018-05-05 02:21:28",999,699,147,"Деньги от iTunes",fb,FromProfile,DO,topfacemobappios,com.topface.topface.premium.month.1
,,,118064806,"2018-04-21 20:26:06",16,"2018-05-02 21:27:19",299,209,67,"Деньги от iTunes",fb,FromMenu,US,topfacemobappios,com.topface.topface.buy.likes.1
,,,118339974,"2018-05-03 10:05:07",2,"2018-05-03 10:41:41",111,77,19,"Деньги от iTunes",fb,FromBuyLeader,MM,topfacemobappios,com.topface.topface.buy.coins.6
,,,118011087,"2018-04-19 01:20:43",2,"2018-04-22 01:28:05",1509,1056,147,"Деньги от iTunes",vk,FromVipTrialPopup,IN,topfacemobappios,com.topface.topface.premium.trial.month.1299
,,,118041625,"2018-04-20 16:49:00",1,"2018-04-21 02:02:35",999,699,147,"Деньги от iTunes",st,FromMenu,US,topfacemobappios,com.topface.topface.premium.month.1
,,,118064806,"2018-04-21 20:26:06",2,"2018-04-21 20:47:39",99,69,19,"Деньги от iTunes",fb,FromBuyLeader,US,topfacemobappios,com.topface.topface.buy.coins.6
,,,118063927,"2018-04-21 19:43:08",1,"2018-04-23 01:28:14",661,462,147,"Деньги от iTunes",st,VipDelivery,TR,topfacemobappios,com.topface.topface.premium.month.1
9581,63,"2018-04-21 06:30:36",118046443,"2018-04-20 21:14:22",5,"2018-04-21 21:15:19",376,263,67,"Деньги от iTunes",fb,FromLikes,IN,standalonetf,com.topface.topface.buy.likes.1
,,,118362577,"2018-05-04 05:15:22",2,"2018-05-04 05:23:13",99,69,19,"Деньги от iTunes",st,FromMenu,US,topfacemobappios,com.topface.topface.buy.coins.6
,,,118040018,"2018-04-20 15:10:46",1,"2018-04-20 22:12:44",1299,909,147,"Деньги от iTunes",st,FromVipTrialPopup,US,topfacemobappios,com.topface.topface.premium.trial.month.1299
,,,118064806,"2018-04-21 20:26:06",7,"2018-04-21 20:54:03",999,699,19,"Деньги от iTunes",fb,FromGuests,US,topfacemobappios,com.topface.topface.buy.coins.100
,,,118303977,"2018-05-02 11:30:14",24,"2018-05-05 12:37:27",500,485,68,"Деньги от Ninja",st,super_popup_side_menu_guest,UA,topfacemobappios,premium.pack7
,,,118012814,"2018-04-19 03:55:07",5,"2018-04-20 11:49:06",99,69,19,"Деньги от iTunes",st,FromLikes,US,standalonetf,com.topface.topface.buy.coins.6
,,,118039632,"2018-04-20 14:45:29",4,"2018-04-20 15:01:32",99,69,19,"Деньги от iTunes",st,FromLikes,US,topfacemobappios,com.topface.topface.buy.coins.6
,,,118092708,"2018-04-22 23:34:29",11,"2018-05-05 18:38:07",307,214,67,"Деньги от iTunes",fb,FromLikes,TR,topfacemobappios,com.topface.topface.buy.likes.1
,,,118052044,"2018-04-21 04:09:54",3,"2018-04-23 01:43:40",299,209,67,"Деньги от iTunes",st,FromLikes,QA,topfacemobappios,com.topface.topface.buy.likes.1
,,,118224487,"2018-04-29 00:56:25",9,"2018-04-30 15:23:22",422,295,67,"Деньги от iTunes",st,FromLikes,EE,topfacemobappios,com.topface.topface.buy.likes.1
,,,118049207,"2018-04-20 23:31:56",10,"2018-04-21 13:13:23",110,77,19,"Деньги от iTunes",st,FromProfileBuyGifts,TR,topfacemobappios,com.topface.topface.buy.coins.6
,,,118313793,"2018-05-02 17:05:58",1,"2018-05-02 17:17:42",651,455,147,"Деньги от iTunes",st,FromGuests,TR,topfacemobappios,com.topface.topface.premium.month.1
,,,118442666,"2018-05-06 19:34:04",2,"2018-05-07 06:13:31",999,699,147,"Деньги от iTunes",st,FromGuests,US,topfacemobappios,com.topface.topface.premium.month.1
597,12,"2018-04-19 23:55:07",118030068,"2018-04-19 23:55:07",6,"2018-04-20 00:39:09",230,136,19,"Деньги от Fortumo (web)",st,sympathy_access,RU,topfacemobappios,coin.two
,,,118241129,"2018-04-29 19:46:50",7,"2018-05-01 08:10:26",119,83,19,"Деньги от iTunes",st,FromLikes,RU,topfacemobappios,com.topface.topface.buy.coins.6
,,,118217019,"2018-04-28 18:52:00",9,"2018-05-01 22:19:37",361,252,67,"Деньги от iTunes",st,FromLikes,RU,topfacemobappios,com.topface.topface.buy.likes.1
,,,118061163,"2018-04-21 17:02:01",17,"2018-05-03 17:12:25",118,82,19,"Деньги от iTunes",fb,FromMenu,RU,topfacemobappios,com.topface.topface.buy.coins.6
,,,118359536,"2018-05-04 00:48:32",1,"2018-05-05 03:48:01",999,699,147,"Деньги от iTunes",st,FromMenu,UA,topfacemobappios,com.topface.topface.premium.month.1
,,,118266970,"2018-04-30 21:54:52",2,"2018-05-02 01:40:07",276,268,67,"Деньги от Payment Ninja",st,Menu,RU,topfacemobappios,pn.likes.100.3
,,,118064806,"2018-04-21 20:26:06",1,"2018-04-21 20:43:42",999,699,147,"Деньги от iTunes",fb,FromMenu,US,topfacemobappios,com.topface.topface.premium.month.1
,,,118032036,"2018-04-20 03:23:40",13,"2018-05-02 20:45:27",999,699,19,"Деньги от iTunes",fb,Likes,US,topfacemobappios,com.topface.topface.buy.coins.100
597,12,"2018-04-20 14:05:44",118039076,"2018-04-20 14:05:44",19,"2018-04-23 13:34:26",565,548,19,"Деньги от Ninja",vk,coinsPopupFrom51-1,RU,standalonetf,coin.three
,,,118401059,"2018-05-05 13:38:50",1,"2018-05-05 14:21:16",999,699,147,"Деньги от iTunes",fb,FromMenu,US,topfacemobappios,com.topface.topface.premium.month.1
,,,118212485,"2018-04-28 14:26:19",1,"2018-05-03 18:08:34",1197,837,147,"Деньги от iTunes",fb,VipDelivery,ES,topfacemobappios,com.topface.topface.premium.month.1
,,,118006975,"2018-04-18 22:32:16",1,"2018-04-18 22:59:34",123,86,19,"Деньги от iTunes",st,FromBuyLeader,RU,topfacemobappios,com.topface.topface.buy.coins.6
,,,118267109,"2018-04-30 21:59:54",1,"2018-04-30 22:31:50",2699,1889,147,"Деньги от iTunes",st,FromMyProfile,US,topfacemobappios,com.topface.topface.premium.month.3
,,,118019008,"2018-04-19 12:39:40",1,"2018-04-27 15:03:03",1195,836,147,"Деньги от iTunes",vk,,RU,topfacemobappios,com.topface.topface.premium.trial.month.1299
,,,118012814,"2018-04-19 03:55:07",1,"2018-04-19 03:57:37",999,699,147,"Деньги от iTunes",st,FromMenu,US,standalonetf,com.topface.topface.premium.month.1
,,,118091719,"2018-04-22 22:45:45",1,"2018-04-23 19:06:41",659,461,147,"Деньги от iTunes",fb,VipDelivery,QA,topfacemobappios,com.topface.topface.premium.month.1
,,,118235598,"2018-04-29 14:36:41",1,"2018-04-29 14:40:06",667,466,147,"Деньги от iTunes",st,FromMenu,TR,topfacemobappios,com.topface.topface.premium.month.1
,,,118099293,"2018-04-23 09:07:09",13,"2018-04-26 09:12:33",1495,1270,147,"Деньги от iTunes",fb,FromVipTrialPopup,TR,topfacemobappios,com.topface.topface.premium.trial.month.1299
,,,118052044,"2018-04-21 04:09:54",9,"2018-04-26 08:47:53",299,209,67,"Деньги от iTunes",st,FromLikes,QA,topfacemobappios,com.topface.topface.buy.likes.1
,,,118416370,"2018-05-05 23:45:25",1,"2018-05-05 23:52:14",1022,715,147,"Деньги от iTunes",st,FromMenu,EG,topfacemobappios,com.topface.topface.premium.month.1
,,,118260733,"2018-04-30 16:51:21",1,"2018-04-30 17:17:50",299,209,67,"Деньги от iTunes",st,FromLikes,US,topfacemobappios,com.topface.topface.buy.likes.1
,,,118303977,"2018-05-02 11:30:14",47,"2018-05-07 08:10:19",500,485,127,"Деньги от Ninja",st,coinsPopupFrom51-1,UA,topfacemobappios,coin.two
,,,118080849,"2018-04-22 14:12:03",2,"2018-04-25 14:13:11",1299,909,147,"Деньги от iTunes",st,FromVipTrialPopup,UA,topfacemobappios,com.topface.topface.premium.trial.month.1299
