"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
,,,117716816,"2018-04-06 20:43:49",43,"2018-04-15 21:23:01",56,28,19,Голоса,vk,coins_popup_navigation,RU,topfacemobappandroid,coin.one
,,,117824332,"2018-04-11 19:50:37",3,"2018-04-11 20:00:57",543,275,19,Голоса,vk,sympathy_access,RU,topface,coin.150coins
,,,117610187,"2018-04-02 06:01:05",5,"2018-04-02 06:05:07",61,31,19,Голоса,vk,sympathy_access,MD,topface,coin.one
,,,117825129,"2018-04-11 20:31:55",11,"2018-04-15 00:29:13",48,24,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
5859,47,"2018-04-12 15:12:11",117838361,"2018-04-12 15:12:11",17,"2018-04-12 15:41:02",500,485,127,"Деньги от Ninja",st,sympathy_access,UA,standalonetf,coin.two
597,12,"2018-04-02 06:15:05",117610385,"2018-04-02 06:15:05",29,"2018-04-10 17:15:04",279,270,68,"Деньги от Ninja",st,super_express_message,RU,standalonetf,premium.pack7
,,,117925182,"2018-04-16 07:12:37",1,"2018-04-16 07:14:23",48,27,19,"Деньги от FB",fb,coins_popup_navigation,RU,topface,
597,12,"2018-03-31 12:18:41",117564682,"2018-03-31 12:18:41",21,"2018-04-02 22:34:38",912,579,57,"Деньги от SMS Online",fb,superPopupFromBlockExpressMessages,RU,standalonetf,
597,12,"2018-04-01 17:23:50",117592217,"2018-04-01 17:23:50",13,"2018-04-02 14:04:40",106,37,19,"Деньги от Fortumo (web)",st,sympathy_access,IN,standalonetf,coin.one
,,,117627521,"2018-04-02 20:28:17",21,"2018-04-03 20:29:15",61,31,19,Голоса,vk,sympathy_access,RU,topface,coin.one
597,12,"2018-04-10 11:02:30",117807062,"2018-04-10 11:02:29",11,"2018-04-10 17:35:07",100,97,19,"Деньги от Ninja",fb,coinsPopupFrom51-1,MX,standalonetf,coin.one
3,5,"2018-04-02 17:16:27",117622586,"2018-04-02 17:16:27",5,"2018-04-03 09:58:20",304,295,68,"Деньги от Ninja",vk,superPopupFromBlockExpressMessages,RU,standalonetf,premium.pack7
597,12,"2018-04-11 18:00:36",117822371,"2018-04-11 18:00:36",3,"2018-04-11 18:30:05",100,168,77,"Деньги от Paymentwall (web)",st,,BY,standalonetf,
597,12,"2018-04-10 16:01:02",117809578,"2018-04-10 16:01:02",14,"2018-04-16 18:38:27",500,485,19,"Деньги от Ninja",st,sympathy_access,UA,standalonetf,coin.two
597,12,"2018-04-02 06:15:05",117610385,"2018-04-02 06:15:05",22,"2018-04-02 17:10:14",304,295,68,"Деньги от Ninja",st,super_express_message,RU,standalonetf,premium.pack7
597,12,"2018-04-10 17:30:55",117810439,"2018-04-10 17:30:54",10,"2018-04-10 17:47:13",83,20,19,"Деньги от Fortumo (web)",fb,sympathy_access,MX,topfacemobappios,coin.one
597,12,"2018-04-12 14:33:48",117837832,"2018-04-12 14:33:48",2,"2018-04-12 14:43:11",123,46,19,"Деньги от Fortumo (web)",st,sympathy_access,IT,standalonetf,coin.one
597,12,"2018-04-11 10:08:51",117816923,"2018-04-11 10:08:51",4,"2018-04-12 12:30:59",280,235,19,"Деньги от Paymentwall (web)",st,sympathy_access,RU,standalonetf,
597,12,"2018-04-10 17:30:55",117810439,"2018-04-10 17:30:54",7,"2018-04-10 17:45:42",83,20,19,"Деньги от Fortumo (web)",fb,sympathy_access,MX,topfacemobappios,coin.one
597,12,"2018-04-06 14:11:32",117709811,"2018-04-06 14:11:32",10,"2018-04-09 00:03:13",100,97,19,"Деньги от Ninja",st,coinsPopupFrom51-1,UA,standalonetf,coin.one
597,12,"2018-04-02 11:12:51",117615253,"2018-04-02 11:12:51",1,"2018-04-02 11:14:55",500,485,68,"Деньги от Ninja",st,super_from_side_menu,MA,standalonetf,premium.pack7
597,12,"2018-03-31 16:18:45",117568120,"2018-03-31 16:18:44",21,"2018-04-04 10:01:03",189,132,77,"Деньги от Google Play",fb,BadaboomFilterScreen,RU,topfacemobappandroid,com.topface.topface.bombmsg.2
597,12,"2018-04-10 16:01:02",117809578,"2018-04-10 16:01:02",9,"2018-04-14 00:04:07",500,485,19,"Деньги от Ninja",st,coinsPopupFrom51-1,UA,standalonetf,coin.two
,,,117716816,"2018-04-06 20:43:49",41,"2018-04-15 21:19:45",56,28,19,Голоса,vk,coins_popup_navigation,RU,topfacemobappandroid,coin.one
597,12,"2018-04-14 15:39:05",117881990,"2018-04-14 15:39:05",3,"2018-04-15 18:50:34",500,485,19,"Деньги от Ninja",st,coins_popup_navigation,UA,topfacemobappios,coin.two
597,12,"2018-04-06 14:11:32",117709811,"2018-04-06 14:11:32",33,"2018-04-11 09:14:18",500,485,19,"Деньги от Ninja",st,sympathy_access,UA,standalonetf,coin.two
597,12,"2018-04-10 11:02:30",117807062,"2018-04-10 11:02:29",18,"2018-04-10 17:35:22",100,97,127,"Деньги от Ninja",fb,coinsPopupFrom51-1,MX,standalonetf,coin.one
,,,117622879,"2018-04-02 17:29:04",12,"2018-04-03 10:46:15",304,154,147,Голоса,vk,super_from_side_menu,BY,topface,
597,12,"2018-04-10 13:28:08",117808195,"2018-04-10 13:28:08",18,"2018-04-12 18:07:44",500,485,68,"Деньги от Ninja",st,superPopupFromBlockExpressMessages,US,standalonetf,premium.pack7
,,,117716816,"2018-04-06 20:43:49",22,"2018-04-12 18:14:47",57,28,19,Голоса,vk,coins_popup_navigation,RU,topfacemobappandroid,coin.one
,,,117690396,"2018-04-05 11:56:05",9,"2018-04-07 12:22:13",129,90,19,"Деньги от iTunes",vk,FromLikes,RU,topfacemobappios,com.topface.topface.buy.coins.6
597,12,"2018-04-04 03:32:46",117659412,"2018-04-04 03:32:46",2,"2018-04-11 07:15:49",2400,2328,68,"Деньги от Ninja",st,superPopupFromExperiment57-2BlockPopup,US,standalonetf,premium.pack90
,,,117647305,"2018-04-03 16:47:04",5,"2018-04-03 19:11:04",61,31,19,Голоса,vk,sympathy_access,RU,topface,coin.one
597,12,"2018-04-12 23:43:46",117848750,"2018-04-12 23:43:46",15,"2018-04-14 09:35:12",81,21,19,"Деньги от SMS Online",vk,coins_popup_navigation,RU,topface,
597,12,"2018-04-06 14:11:32",117709811,"2018-04-06 14:11:32",18,"2018-04-09 00:04:34",100,97,127,"Деньги от Ninja",st,coinsPopupFrom51-1,UA,standalonetf,coin.one
597,12,"2018-04-12 15:52:24",117838891,"2018-04-12 15:52:23",3,"2018-04-12 17:19:39",283,224,19,"Деньги от Paymentwall (web)",mm,sympathy_access,RU,standalonetf,
597,12,"2018-04-13 06:05:10",117852975,"2018-04-13 06:05:10",3,"2018-04-13 06:24:13",500,485,19,"Деньги от Ninja",st,coins_popup_profile_menu,UA,topfacemobappios,coin.two
,,,117806134,"2018-04-10 08:58:23",5,"2018-04-10 09:10:03",347,176,19,Голоса,vk,coins_popup_profile_menu,RU,topface,coin.three
597,12,"2018-04-02 11:12:51",117615253,"2018-04-02 11:12:51",60,"2018-04-16 11:15:06",500,485,68,"Деньги от Ninja",st,,MA,standalonetf,premium.pack7
,,,117563674,"2018-03-31 10:51:14",10,"2018-04-09 00:10:41",121,61,57,Голоса,vk,superPopupFromBlockExpressMessages,RU,topface,premium.1
597,12,"2018-04-08 22:21:08",117769910,"2018-04-08 22:21:08",6,"2018-04-11 13:28:23",500,485,19,"Деньги от Payment Ninja",st,EmptyLikes,UA,topfacemobappandroid,pn.coins.40.5
597,12,"2018-04-08 22:21:08",117769910,"2018-04-08 22:21:08",2,"2018-04-09 11:48:31",500,485,19,"Деньги от Ninja",st,sympathy_access,UA,topfacemobappandroid,coin.two
597,12,"2018-04-08 18:48:04",117568808,"2018-03-31 17:01:21",23,"2018-04-15 20:30:53",56,28,19,Голоса,vk,sympathy_access,RU,topface,coin.one
597,12,"2018-04-06 14:11:32",117709811,"2018-04-06 14:11:32",21,"2018-04-09 00:16:25",1000,970,19,"Деньги от Ninja",st,sympathy_access,UA,standalonetf,coin.three
,,,117701690,"2018-04-05 23:25:50",30,"2018-04-15 22:18:18",282,143,147,Голоса,vk,coinsPopupFrom51-1,RU,topface,
,,,117627521,"2018-04-02 20:28:17",33,"2018-04-04 18:21:09",61,31,19,Голоса,vk,coins_widget_57_3,RU,topface,coin.one
,,,117581121,"2018-04-01 06:09:53",33,"2018-04-10 06:31:51",115,57,57,Голоса,vk,superPopupFromBlockExpressMessages,RU,topface,premium.1
597,12,"2018-04-13 21:06:34",117865900,"2018-04-13 21:06:34",11,"2018-04-15 21:12:19",282,274,127,"Деньги от Ninja",st,sympathy_access,RU,standalonetf,coin.two
597,12,"2018-04-13 19:19:47",117863849,"2018-04-13 19:19:47",14,"2018-04-13 19:48:54",65,63,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.one
3,5,"2018-04-05 20:45:53",117698612,"2018-04-05 20:45:52",1,"2018-04-06 00:32:00",1560,1312,19,"Деньги от Paymentwall (web)",mm,coins_popup_navigation,RU,standalonetf,
,,,117581121,"2018-04-01 06:09:53",22,"2018-04-02 11:52:05",122,62,19,Голоса,vk,sympathy_access,RU,topface,coin.two
597,12,"2018-04-01 12:50:04",117586565,"2018-04-01 12:50:04",1,"2018-04-01 13:38:39",234,9,19,"Деньги от PaymentWall (mobile)",st,none,US,topfacemobappandroid,com.topface.topface.buy.sms.coins.8
597,12,"2018-04-10 11:02:30",117807062,"2018-04-10 11:02:29",38,"2018-04-11 22:22:43",100,97,127,"Деньги от Ninja",fb,superPopupFromBlockExpressMessages,MX,standalonetf,coin.one
597,12,"2018-03-31 16:18:45",117568120,"2018-03-31 16:18:44",11,"2018-04-01 18:12:17",173,121,147,"Деньги от Google Play",fb,promo.key31,RU,topfacemobappandroid,com.topface.topface.sub.vip.week.299.v1
597,12,"2018-04-01 22:03:50",117600669,"2018-04-01 22:03:50",12,"2018-04-02 19:15:45",87,52,19,"Деньги от Fortumo (web)",st,sympathy_access,RU,standalonetf,coin.one
,,,117701690,"2018-04-05 23:25:50",27,"2018-04-14 14:25:32",56,28,19,Голоса,vk,coinsPopupFrom51-1,RU,topface,coin.one
,,,117716816,"2018-04-06 20:43:49",55,"2018-04-17 06:50:04",73,51,19,"Деньги от Google Play",vk,EmptyLikes,RU,topfacemobappandroid,com.topface.topface.coins.6.1
,,,117579868,"2018-04-01 04:05:09",29,"2018-04-17 07:46:05",114,57,19,Голоса,vk,coins_popup_navigation,RU,topface,coin.two
,,,117908020,"2018-04-15 16:26:31",11,"2018-04-16 17:25:19",561,545,19,"Деньги от Ninja",vk,coins_popup_navigation,RU,topfacemobappios,coin.three
,,,117716816,"2018-04-06 20:43:49",9,"2018-04-10 21:24:41",56,28,19,Голоса,vk,sympathy_access,RU,topfacemobappandroid,coin.one
,,,117786311,"2018-04-09 12:28:41",14,"2018-04-09 14:13:59",60,30,19,Голоса,vk,sympathy_access,RU,topface,coin.one
,,,117716816,"2018-04-06 20:43:49",29,"2018-04-13 20:47:45",56,28,19,Голоса,vk,sympathy_access,RU,topfacemobappandroid,coin.one
,,,117788507,"2018-04-09 14:27:28",1,"2018-04-09 14:30:43",51,27,19,"Деньги от FB",fb,coins_popup_navigation,RU,topface,
597,12,"2018-04-13 23:25:57",117868918,"2018-04-13 23:25:57",40,"2018-04-16 22:48:54",300,291,67,"Деньги от Ninja",ok,how-get-popularity,GE,standalonetf,like.1
,,,117589123,"2018-04-01 15:09:21",14,"2018-04-04 21:00:40",122,62,57,Голоса,vk,superPopupFromBlockExpressMessages,BY,topface,premium.1
