"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
597,12,"2018-04-09 19:42:49",117795109,"2018-04-09 19:42:49",7,"2018-04-15 13:17:26",100,179,77,"Деньги от Paymentwall (web)",fb,,AM,topfacemobappios,
,,,117780178,"2018-04-09 05:48:58",3,"2018-04-09 05:59:51",52,26,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
597,12,"2018-04-15 11:05:10",117902087,"2018-04-15 11:05:10",2,"2018-04-15 12:00:26",326,228,147,"Деньги от iTunes",st,FromMenu,AE,topfacemobappios,com.topface.topface.premium.week.1
597,12,"2018-04-05 20:34:55",117698390,"2018-04-05 20:34:55",10,"2018-04-06 23:39:07",500,485,68,"Деньги от Ninja",st,super_express_message,UA,standalonetf,premium.pack7
,,,117644989,"2018-04-03 14:29:24",2,"2018-04-03 14:30:08",122,62,19,Голоса,vk,sympathy_access,RU,topface,coin.two
,,,117675137,"2018-04-04 19:50:22",13,"2018-04-10 20:24:30",48,24,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
597,12,"2018-04-16 18:01:13",117936799,"2018-04-16 18:01:13",4,"2018-04-16 18:37:05",64,62,19,"Деньги от Ninja",st,sympathy_access,RU,topfacemobappandroid,coin.one
,,,117684909,"2018-04-05 04:07:12",1,"2018-04-05 04:10:35",52,27,19,"Деньги от FB",fb,coins_popup_navigation,RU,topface,
,,,117835013,"2018-04-12 10:28:35",2,"2018-04-12 10:32:53",48,24,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
9775,33,"2018-04-15 12:15:17",117903343,"2018-04-15 12:15:17",25,"2018-04-15 20:07:36",499,349,19,"Деньги от FB",fb,sympathy_access,TR,topface,
597,12,"2018-04-07 18:55:18",117737011,"2018-04-07 18:55:18",2,"2018-04-08 20:47:53",302,293,68,"Деньги от Ninja",mm,superPopupFromBlockExpressMessages,RU,standalonetf,premium.pack7
,,,117597081,"2018-04-01 20:12:34",27,"2018-04-02 23:41:24",122,62,19,Голоса,vk,sympathy_access,RU,topface,coin.two
597,12,"2018-04-10 17:39:37",117810526,"2018-04-10 17:39:37",27,"2018-04-14 14:02:06",123,120,19,"Деньги от Ninja",vk,coinsPopupFrom51-1,IT,standalonetf,coin.one
597,12,"2018-03-31 17:10:18",117568960,"2018-03-31 17:10:18",4,"2018-04-01 05:47:08",613,594,68,"Деньги от Ninja",st,superPopupFromBlockExpressMessages,RU,standalonetf,premium.pack30
597,12,"2018-04-05 18:48:03",117696474,"2018-04-05 18:48:02",5,"2018-04-05 23:41:25",500,485,68,"Деньги от Ninja",fb,new_dating_block_write_message_from_search,KE,standalonetf,premium.pack7
,,,117655041,"2018-04-03 22:45:30",25,"2018-04-05 18:51:58",69,67,19,"Деньги от Ninja",vk,coins_popup_navigation,RU,standalonetf,coin.one
597,12,"2018-04-03 22:20:58",117654506,"2018-04-03 22:20:58",1,"2018-04-03 22:25:24",1000,970,68,"Деньги от Ninja",st,super_from_side_menu,BY,topfacemobappandroid,premium.pack30
