"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
9535,63,"2018-03-20 10:08:26",117260188,"2018-03-20 10:08:25",2,"2018-03-21 11:14:28",510,179,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
9423,63,"2018-03-21 19:25:42",117320174,"2018-03-21 19:25:41",3,"2018-03-24 21:28:07",929,650,147,"Деньги от Google Play",fb,TrialVipPopup,MX,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.10.3daysfree
9485,63,"2018-03-20 15:03:50",117265521,"2018-03-20 15:03:49",1,"2018-03-20 18:47:50",539,523,147,"Деньги от Payment Ninja",fb,AutoReplyMessage,FR,topfacemobappandroid,pn..sub.vip.month.5
9550,63,"2018-03-19 18:42:06",117243225,"2018-03-19 18:42:04",1,"2018-03-20 11:28:43",436,305,147,"Деньги от Google Play",gp,AutoReplyMessage,MX,topfacemobappandroid,com.topface.topface.sub.vip.month.5
9420,63,"2018-03-24 18:24:58",117426183,"2018-03-24 18:24:57",1,"2018-03-24 18:33:55",499,484,147,"Деньги от Payment Ninja",fb,Dating,CO,topfacemobappandroid,pn..sub.vip.month.5
8542,63,"2018-03-19 09:47:35",117232474,"2018-03-19 09:47:30",1,"2018-03-26 18:35:54",444,310,147,"Деньги от Google Play",gp,promo.key31,MX,topfacemobappandroid,com.topface.topface.sub.vip.month.5
,,,117260031,"2018-03-20 09:59:11",7,"2018-03-20 14:30:38",99,69,146,"Деньги от Google Play",fb,Menu,DK,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
9420,63,"2018-03-16 16:27:13",117173975,"2018-03-16 16:27:10",3,"2018-03-18 16:38:59",424,296,146,"Деньги от Google Play",st,EmptyLikes,PE,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9535,63,"2018-03-21 15:28:51",117311953,"2018-03-21 15:28:49",1,"2018-03-21 17:08:24",510,179,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
9366,63,"2018-03-18 15:15:45",117209841,"2018-03-18 15:15:44",1,"2018-03-18 15:31:55",579,405,147,"Деньги от Google Play",gp,UserProfileFragment,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
9500,63,"2018-03-18 21:46:38",117219339,"2018-03-18 21:46:35",1,"2018-03-18 22:37:52",960,672,147,"Деньги от Google Play",st,LeftMenu,IN,topfacemobappandroid,com.topface.topface.sub.vip.month.10
9524,63,"2018-03-18 10:17:17",117204947,"2018-03-18 10:17:16",1,"2018-03-18 10:22:59",579,405,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
,,,117474438,"2018-03-27 00:28:13",1,"2018-03-27 00:29:02",307,298,147,"Деньги от Payment Ninja",gp,LeftMenu,RU,topfacemobappandroid,pn.sub.vip.week.3
9560,63,"2018-03-24 05:09:55",117411588,"2018-03-24 05:09:53",6,"2018-03-25 22:20:30",500,485,19,"Деньги от Payment Ninja",fb,Menu,IN,topfacemobappandroid,pn.coins.40.5
,,,117310099,"2018-03-21 14:27:57",1,"2018-03-21 20:44:29",307,298,147,"Деньги от Payment Ninja",gp,promo.key31,RU,topfacemobappandroid,pn.sub.vip.week.3
5611,45,"2018-03-26 07:13:42",117362590,"2018-03-22 17:26:13",9,"2018-03-26 07:50:48",61,42,146,"Деньги от Google Play",ok,EmptyLikes,RU,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
,,,117465853,"2018-03-26 18:58:54",1,"2018-03-26 20:13:43",570,399,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.10
,,,117416892,"2018-03-24 10:25:09",1,"2018-03-24 12:32:36",308,298,147,"Деньги от Payment Ninja",st,LeftMenu,RU,topfacemobappandroid,pn.sub.vip.week.3
9535,63,"2018-03-19 23:43:17",117249690,"2018-03-19 23:43:04",1,"2018-03-26 16:32:15",363,254,147,"Деньги от Google Play",fb,PopularUserBlockDialog,TR,topfacemobappandroid,com.topface.topface.sub.vip.month.5
