filters,"created per day",Count
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-16 00:00:00","3,290"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-17 00:00:00","3,390"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-18 00:00:00","5,261"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-19 00:00:00","5,905"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-20 00:00:00","8,651"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-21 00:00:00","12,662"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-22 00:00:00","8,377"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-23 00:00:00","6,617"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-24 00:00:00","4,890"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-25 00:00:00","3,246"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-26 00:00:00","4,888"
"tags:Multirun_VIPDescription_Android_run2__TG","2018-03-27 00:00:00","1,852"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-16 00:00:00","3,247"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-17 00:00:00","3,308"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-18 00:00:00","5,245"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-19 00:00:00","5,790"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-20 00:00:00","8,614"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-21 00:00:00","12,512"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-22 00:00:00","8,695"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-23 00:00:00","6,600"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-24 00:00:00","4,932"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-25 00:00:00","3,179"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-26 00:00:00","4,854"
"tags:Multirun_VIPDescription_Android_run2__CG1","2018-03-27 00:00:00","1,768"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-16 00:00:00","3,334"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-17 00:00:00","3,443"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-18 00:00:00","5,316"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-19 00:00:00","5,820"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-20 00:00:00","8,583"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-21 00:00:00","12,714"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-22 00:00:00","8,620"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-23 00:00:00","6,564"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-24 00:00:00","4,829"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-25 00:00:00","3,269"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-26 00:00:00","4,865"
"tags:Multirun_VIPDescription_Android_run2__CG2","2018-03-27 00:00:00","1,748"
