"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
597,12,"2018-03-20 20:15:38",117275242,"2018-03-20 20:15:38",19,"2018-03-20 21:49:35",69,67,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.one
597,12,"2018-03-20 16:48:55",117267971,"2018-03-20 16:48:54",4,"2018-03-20 17:15:32",500,485,19,"Деньги от Ninja",fb,sympathy_access,GE,standalonetf,coin.two
597,12,"2018-03-29 15:59:38",117523581,"2018-03-29 15:59:38",14,"2018-03-30 13:27:55",244,145,19,"Деньги от Fortumo (web)",st,sympathy_access,RU,standalonetf,coin.two
597,12,"2018-03-29 18:41:37",117526710,"2018-03-29 18:41:37",1,"2018-03-29 20:31:02",305,242,19,"Деньги от Paymentwall (web)",mm,coins_popup_navigation,RU,standalonetf,
,,,117401764,"2018-03-23 20:36:40",9,"2018-03-23 21:26:45",61,31,19,Голоса,vk,sympathy_access,RU,topface,coin.one
,,,117494916,"2018-03-27 23:42:24",4,"2018-03-31 03:45:07",87,43,57,"Деньги от Одноклассников",ok,super_express_message,RU,topface,premium.7day_PUincrease
,,,117090745,"2018-03-11 18:34:19",3,"2018-03-29 15:52:59",121,61,57,Голоса,vk,superPopupFromExperiment57-2BlockDialog,RU,topface,premium.1
597,12,"2018-03-19 21:40:35",117247483,"2018-03-19 21:40:35",42,"2018-03-23 23:49:40",70,68,127,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.one
597,12,"2018-03-19 21:40:35",117247483,"2018-03-19 21:40:35",60,"2018-03-25 08:13:07",70,68,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.one
597,12,"2018-03-24 21:05:06",117429488,"2018-03-24 21:05:06",15,"2018-03-25 02:26:13",0,144,77,"Деньги от Paymentwall (web)",st,,RU,standalonetf,
597,12,"2018-03-19 21:40:35",117247483,"2018-03-19 21:40:35",114,"2018-04-01 09:01:20",306,297,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.two
597,12,"2018-03-18 19:47:43",117215770,"2018-03-18 19:47:43",26,"2018-03-21 21:30:18",100,97,127,"Деньги от Ninja",st,coins_popup_57_3,UA,standalonetf,coin.one
597,12,"2018-03-20 20:15:38",117275242,"2018-03-20 20:15:38",43,"2018-03-22 00:16:06",305,296,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.two
,,,117461502,"2018-03-26 15:40:19",7,"2018-03-26 15:44:58",88,44,57,"Деньги от Одноклассников",ok,new_dating_block_write_message_from_search,RU,topface,premium.1
597,12,"2018-03-29 00:52:16",117513053,"2018-03-29 00:52:16",3,"2018-03-31 19:13:20",500,485,68,"Деньги от Ninja",st,superPopupFromBlockExpressMessages,DO,standalonetf,premium.pack7
,,,117123983,"2018-03-13 20:00:10",2,"2018-04-03 22:18:03",52,26,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
,,,117136602,"2018-03-14 14:03:09",15,"2018-04-03 09:36:19",122,62,19,Голоса,vk,sympathy_access,RU,topface,coin.two
