"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
597,12,"2018-03-21 21:58:51",117328667,"2018-03-21 21:58:51",1,"2018-03-21 22:08:50",100,97,19,"Деньги от Ninja",st,coins_popup_navigation,US,standalonetf,coin.one
,,,117191687,"2018-03-17 17:01:17",5,"2018-03-18 06:07:28",17,8,57,"Деньги от Одноклассников",ok,superPopupFromBlockExpressMessages,KZ,topface,premium.1day_PUincrease
597,12,"2018-03-17 20:53:16",117195121,"2018-03-17 20:53:16",8,"2018-03-20 10:24:12",203,142,147,"Деньги от iTunes",fb,FromMenu,UG,topfacemobappios,com.topface.topface.premium.week.1
597,12,"2018-03-12 02:28:47",117095065,"2018-03-12 02:28:46",5,"2018-03-12 12:04:39",308,172,19,"Деньги от SMS Online",ok,sympathy_access,RU,standalonetf,
,,,117092298,"2018-03-11 21:03:53",23,"2018-03-23 09:05:58",100,97,19,"Деньги от Ninja",fb,coins_popup_navigation,BY,standalonetf,coin.one
,,,117459860,"2018-03-26 14:14:03",5,"2018-03-28 21:02:37",86,43,57,"Деньги от Одноклассников",ok,superPopupFromBlockExpressMessages,RU,topface,premium.7day_PUincrease
597,12,"2018-03-29 03:37:13",117514358,"2018-03-29 03:37:13",18,"2018-03-29 04:30:24",100,97,127,"Деньги от Ninja",st,coins_popup_navigation,PT,standalonetf,coin.one
597,12,"2017-11-10 08:53:43",114497946,"2018-03-19 09:48:52",234,"2018-02-08 11:18:59",69,0,19,"Деньги от Paymentwall (web)",ok,coins_popup_profile_menu,RU,standalonetf,
,,,117074046,"2018-03-10 16:47:28",59,"2018-03-22 08:56:25",88,44,57,"Деньги от Одноклассников",ok,new_dating_block_write_message_from_search,RU,topface,premium.1
,,,117446138,"2018-03-25 20:03:45",54,"2018-03-31 19:16:41",52,26,19,"Деньги от Одноклассников",ok,sympathy_access,UA,topface,coin.one
,,,117074046,"2018-03-10 16:47:28",9,"2018-03-11 13:23:56",53,26,77,"Деньги от Одноклассников",ok,,RU,topface,bombmsg.bombmsg
,,,117074046,"2018-03-10 16:47:28",15,"2018-03-11 18:04:08",88,44,57,"Деньги от Одноклассников",ok,superPopupFromExperiment57-2BlockDialog,RU,topface,premium.1
597,12,"2018-03-21 13:23:05",117308254,"2018-03-21 13:23:05",4,"2018-03-22 13:14:04",269,188,67,"Деньги от Google Play",st,EmptyLikes,BY,standalonetf,com.topface.topface.likes.100.3
,,,117174470,"2018-03-16 17:04:53",24,"2018-03-17 18:08:43",52,26,19,"Деньги от Одноклассников",ok,sympathy_access,RU,topface,coin.one
597,12,"2018-03-29 03:37:13",117514358,"2018-03-29 03:37:13",1,"2018-03-29 04:03:27",100,97,19,"Деньги от Ninja",st,coins_popup_profile_menu,PT,standalonetf,coin.one
,,,117074046,"2018-03-10 16:47:28",74,"2018-03-31 23:11:09",88,44,57,"Деньги от Одноклассников",ok,new_dating_block_write_message_from_search,RU,topface,premium.1
,,,117174470,"2018-03-16 17:04:53",7,"2018-03-17 10:20:31",17,8,57,"Деньги от Одноклассников",ok,superPopupFromBlockExpressMessages,RU,topface,premium.1day_PUincrease
597,12,"2018-03-12 13:30:43",117098807,"2018-03-12 13:30:43",8,"2018-03-16 18:18:56",69,67,19,"Деньги от Ninja",vk,sympathy_access,RU,standalonetf,coin.one
,,,117087474,"2018-03-11 12:54:15",10,"2018-03-17 18:32:55",122,62,57,Голоса,vk,superPopupFromExperiment57-2BlockDialog,UA,topface,premium.1
,,,117465932,"2018-03-26 19:01:32",10,"2018-03-27 13:26:34",612,310,19,Голоса,vk,coins_popup_navigation,RU,topface,coin.150coins
597,12,"2018-03-23 23:20:12",117405916,"2018-03-23 23:20:12",12,"2018-03-25 11:38:04",306,155,147,Голоса,vk,super_express_message,RU,topface,
597,12,"2018-03-26 09:26:10",117455935,"2018-03-26 09:26:10",1,"2018-03-27 12:36:06",306,297,68,"Деньги от Ninja",st,super_express_message,RU,standalonetf,premium.pack7
,,,117246952,"2018-03-19 21:08:10",2,"2018-03-24 14:52:53",122,62,57,Голоса,vk,superPopupFromExperiment57-2BlockDialog,LV,topface,premium.1
597,12,"2018-03-22 04:14:17",117342081,"2018-03-22 04:14:17",7,"2018-03-22 11:49:53",299,209,67,"Деньги от iTunes",st,FromLikes,US,standalonetf,com.topface.topface.buy.likes.1
5611,45,"2018-03-21 11:58:19",117186138,"2018-03-17 09:55:09",31,"2018-03-25 17:03:08",306,155,147,Голоса,vk,,RU,topface,
597,12,"2018-03-28 02:59:40",117496827,"2018-03-28 02:59:40",3,"2018-03-28 19:28:06",500,485,68,"Деньги от Ninja",st,super_express_message,US,standalonetf,premium.pack7
,,,117510317,"2018-03-28 21:49:00",15,"2018-04-05 12:22:40",304,154,147,Голоса,vk,super_express_message,RU,topface,
,,,91210310,"2015-01-19 11:49:58",15,"2016-12-14 17:30:52",-1,2,0,"Деньги от FB",st,"REFUND Деньги от FB",RU,standalonetf,
,,,91210310,"2015-01-19 11:49:58",16,"2016-12-14 17:35:18",-4900,49,0,"Деньги от Ninja",st,"REFUND Деньги от Ninja",RU,standalonetf,
