"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topfacemobappandroid","*","203,803"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1501.any","180,421"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1502.any","63,427"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1503.any","37,406"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1504.any","22,500"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1505.any","17,730"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1506.any","13,799"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1507.any","12,838"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1508.any","10,560"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1509.any","8,772"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1510.any","7,209"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1511.any","6,690"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1512.any","4,490"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1601.any","13,171"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1602.any","11,394"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1603.any","9,799"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1604.any","8,240"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1605.any","7,246"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1606.any","6,779"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1607.any","6,537"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1608.any","6,598"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1609.any","5,791"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1610.any","5,303"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1611.any","4,736"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1612.any","4,539"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1701.any","4,710"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1702.any","3,966"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1703.any","4,048"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1704.any","3,676"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1705.any","3,349"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1706.any","3,141"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1707.any","3,039"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1708.any","3,020"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1709.any","2,882"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1710.any","2,940"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1711.any","2,855"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1712.any","2,577"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1801.any","2,321"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1802.any","2,097"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:user_mau.1803.any","2,103"
"2015-01-01 00:00:00","first_app:topfacemobappios","*","59,564"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1501.any","52,856"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1502.any","19,847"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1503.any","12,193"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1504.any","8,529"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1505.any","6,834"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1506.any","5,295"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1507.any","4,485"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1508.any","3,674"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1509.any","2,984"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1510.any","1,988"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1511.any","2,139"
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:user_mau.1512.any","1,258"
