"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topfacemobappandroid","*","1,340"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1501.topfacemobappandroid OR user_mau.1501.topfacemobappios OR user_mau.1501.topface OR user_mau.1501.standalonetf)","1,225"
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1502.topfacemobappandroid OR user_mau.1502.topfacemobappios OR user_mau.1502.topface OR user_mau.1502.standalonetf)",415
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1503.topfacemobappandroid OR user_mau.1503.topfacemobappios OR user_mau.1503.topface OR user_mau.1503.standalonetf)",202
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1504.topfacemobappandroid OR user_mau.1504.topfacemobappios OR user_mau.1504.topface OR user_mau.1504.standalonetf)",131
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1505.topfacemobappandroid OR user_mau.1505.topfacemobappios OR user_mau.1505.topface OR user_mau.1505.standalonetf)",99
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1506.topfacemobappandroid OR user_mau.1506.topfacemobappios OR user_mau.1506.topface OR user_mau.1506.standalonetf)",87
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1507.topfacemobappandroid OR user_mau.1507.topfacemobappios OR user_mau.1507.topface OR user_mau.1507.standalonetf)",103
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1508.topfacemobappandroid OR user_mau.1508.topfacemobappios OR user_mau.1508.topface OR user_mau.1508.standalonetf)",88
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1509.topfacemobappandroid OR user_mau.1509.topfacemobappios OR user_mau.1509.topface OR user_mau.1509.standalonetf)",76
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1510.topfacemobappandroid OR user_mau.1510.topfacemobappios OR user_mau.1510.topface OR user_mau.1510.standalonetf)",53
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1511.topfacemobappandroid OR user_mau.1511.topfacemobappios OR user_mau.1511.topface OR user_mau.1511.standalonetf)",40
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1512.topfacemobappandroid OR user_mau.1512.topfacemobappios OR user_mau.1512.topface OR user_mau.1512.standalonetf)",19
"2015-01-01 00:00:00","first_app:topfacemobappandroid","_exists_:(user_mau.1601.topfacemobappandroid OR user_mau.1601.topfacemobappios OR user_mau.1601.topface OR user_mau.1601.standalonetf)",77
