filters,filters,"created per month","Sum of revenue_in_month.1501.total","Sum of revenue_in_month.1502.total","Sum of revenue_in_month.1503.total","Sum of revenue_in_month.1504.total","Sum of revenue_in_month.1505.total","Sum of revenue_in_month.1506.total","Sum of revenue_in_month.1507.total","Sum of revenue_in_month.1508.total","Sum of revenue_in_month.1509.total","Sum of revenue_in_month.1510.total","Sum of revenue_in_month.1511.total","Sum of revenue_in_month.1512.total","Sum of revenue_in_month.1601.total","Sum of revenue_in_month.1602.total","Sum of revenue_in_month.1603.total","Sum of revenue_in_month.1604.total","Sum of revenue_in_month.1605.total","Sum of revenue_in_month.1606.total","Sum of revenue_in_month.1607.total"
"referral:0","first_app:topfacemobappandroid","2015-01-01 00:00:00","638,402","715,182","679,478","374,693","409,266","374,733","289,481","249,050","126,620","94,826","134,699","82,996","42,106","77,899","56,480","38,884","38,746","36,264","28,137"
"referral:0","first_app:topfacemobappandroid","2015-02-01 00:00:00",0,"610,555","707,747","398,492","302,829","376,231","291,823","305,223","181,462","94,586","85,149","162,890","56,982","42,056","54,695","64,335","31,879","26,511","32,900"
"referral:0","first_app:topfacemobappandroid","2015-03-01 00:00:00",0,0,"786,902","562,843","318,969","398,670","345,771","368,389","242,854","137,228","97,318","116,436","60,993","44,505","47,936","54,717","45,495","34,069","38,015"
"referral:0","first_app:topfacemobappandroid","2015-04-01 00:00:00",0,0,0,"587,218","532,805","528,128","414,834","345,404","298,284","190,268","153,972","92,076","60,893","47,890","65,299","51,849","61,911","41,302","42,049"
"referral:0","first_app:topfacemobappandroid","2015-05-01 00:00:00",0,0,0,0,"644,581","717,389","519,362","435,623","287,950","205,285","106,406","130,623","42,070","36,394","35,937","31,489","32,881","33,049","25,063"
"referral:0","first_app:topfacemobappandroid","2015-06-01 00:00:00",0,0,0,0,0,"1,443,731","1,439,597","698,094","305,949","307,761","181,127","166,447","65,434","47,141","52,651","46,077","39,373","37,731","34,020"
"referral:0","first_app:topfacemobappandroid","2015-07-01 00:00:00",0,0,0,0,0,0,"1,540,645","911,216","495,649","328,899","220,127","157,698","105,717","55,923","65,122","40,654","55,750","45,831","54,698"
"referral:0","first_app:topfacemobappandroid","2015-08-01 00:00:00",0,0,0,0,0,0,0,"1,523,660","595,213","394,218","156,931","138,000","73,153","68,151","74,293","62,065","52,532","41,502","36,819"
"referral:0","first_app:topfacemobappandroid","2015-09-01 00:00:00",0,0,0,0,0,0,0,0,"1,118,530","749,258","327,955","193,028","97,998","71,022","87,591","68,592","66,459","75,737","65,236"
"referral:0","first_app:topfacemobappandroid","2015-10-01 00:00:00",0,0,0,0,0,0,0,0,0,"837,668","461,343","287,632","100,958","74,228","80,491","58,117","52,433","40,730","42,780"
