filters,filters,"created per month","Sum of revenue_in_month.1608.total","Sum of revenue_in_month.1609.total","Sum of revenue_in_month.1610.total","Sum of revenue_in_month.1611.total","Sum of revenue_in_month.1612.total","Sum of revenue_in_month.1701.total","Sum of revenue_in_month.1702.total","Sum of revenue_in_month.1703.total","Sum of revenue_in_month.1704.total","Sum of revenue_in_month.1705.total","Sum of revenue_in_month.1706.total","Sum of revenue_in_month.1707.total","Sum of revenue_in_month.1708.total","Sum of revenue_in_month.1709.total","Sum of revenue_in_month.1710.total","Sum of revenue_in_month.1711.total","Sum of revenue_in_month.1712.total","Sum of revenue_in_month.1801.total","Sum of revenue_in_month.1802.total","Sum of revenue_in_month.1803.total"
"referral:0","first_app:topfacemobappandroid","2015-01-01 00:00:00","37,956","31,127","25,209","17,400","18,763","37,494","33,256","40,446","37,677","36,587","41,999","56,574","45,527","44,078","33,625","34,208","30,159","31,640","23,151","25,878"
"referral:0","first_app:topfacemobappandroid","2015-02-01 00:00:00","37,231","24,982","24,158","22,681","19,022","45,146","34,710","43,262","36,119","41,099","37,027","37,627","37,864","35,574","44,236","38,093","34,857","33,187","35,144","25,404"
"referral:0","first_app:topfacemobappandroid","2015-03-01 00:00:00","49,462","31,019","22,220","15,606","16,838","32,217","31,422","34,222","41,067","36,569","42,156","42,989","37,207","34,887","37,192","37,697","29,391","30,025","19,093","21,515"
"referral:0","first_app:topfacemobappandroid","2015-04-01 00:00:00","32,302","22,463","34,962","24,858","19,112","31,375","32,089","37,313","27,102","29,252","35,305","29,205","29,776","38,702","39,884","33,456","33,816","33,447","32,561","57,877"
"referral:0","first_app:topfacemobappandroid","2015-05-01 00:00:00","19,904","19,099","25,952","15,181","11,348","39,213","30,994","35,155","32,719","36,504","31,500","31,006","32,051","23,556","32,667","21,931","30,627","42,038","27,385","22,999"
"referral:0","first_app:topfacemobappandroid","2015-06-01 00:00:00","40,280","32,648","32,337","17,219","18,578","38,099","34,919","27,111","25,572","27,013","35,112","25,965","31,514","24,420","35,109","26,012","21,313","20,585","24,051","16,108"
"referral:0","first_app:topfacemobappandroid","2015-07-01 00:00:00","40,964","30,353","46,573","23,593","12,776","44,798","42,385","51,602","53,254","50,980","34,874","38,221","33,592","30,935","33,473","38,578","28,414","28,318","25,791","23,755"
"referral:0","first_app:topfacemobappandroid","2015-08-01 00:00:00","35,407","27,049","25,006","20,739","10,329","46,370","34,657","39,951","33,086","29,393","31,249","30,411","33,692","33,369","36,394","34,901","30,152","32,116","24,340","30,041"
"referral:0","first_app:topfacemobappandroid","2015-09-01 00:00:00","57,097","36,153","26,389","21,966","15,742","52,646","47,501","45,020","48,991","36,088","31,544","33,864","37,045","50,080","39,834","39,023","32,095","29,981","27,509","20,049"
"referral:0","first_app:topfacemobappandroid","2015-10-01 00:00:00","30,800","33,896","30,178","20,562","15,217","57,735","52,037","58,791","44,173","52,150","40,224","41,927","52,292","39,722","37,207","38,787","41,054","32,343","27,260","6,501,326"
"referral:0","first_app:topfacemobappandroid","2015-11-01 00:00:00","65,599","54,285","49,603","38,427","24,119","69,468","56,000","60,312","57,693","50,800","51,919","48,649","58,219","49,945","60,476","42,725","41,742","50,905","31,186","38,239"
"referral:0","first_app:topfacemobappandroid","2015-12-01 00:00:00","64,031","53,989","48,459","41,945","28,614","54,946","59,469","63,760","53,626","53,250","46,399","44,027","37,925","41,140","42,546","39,257","40,928","33,732","28,391","26,798"
"referral:0","first_app:topfacemobappandroid","2016-01-01 00:00:00","71,489","61,303","55,409","38,874","26,337","86,154","58,934","62,599","56,286","46,631","53,615","43,774","42,849","48,683","40,124","38,455","48,510","44,987","41,700","39,832"
"referral:0","first_app:topfacemobappandroid","2016-02-01 00:00:00","80,370","76,570","46,175","35,544","27,468","91,875","59,468","71,203","61,154","57,942","52,836","50,545","58,809","45,051","35,451","31,249","44,101","42,127","26,282","31,667"
"referral:0","first_app:topfacemobappandroid","2016-03-01 00:00:00","91,814","82,028","54,323","45,098","30,739","85,096","61,815","81,950","75,938","55,080","46,059","49,537","35,884","36,841","38,792","30,324","33,272","33,201","27,632","35,710"
"referral:0","first_app:topfacemobappandroid","2016-04-01 00:00:00","93,377","71,111","57,084","41,090","27,586","80,014","51,235","66,871","72,181","53,160","52,792","54,889","49,022","35,290","46,917","35,681","27,391","34,159","35,232","29,204"
"referral:0","first_app:topfacemobappandroid","2016-05-01 00:00:00","110,481","81,581","59,046","45,496","33,469","81,986","57,477","69,693","49,756","50,785","48,790","43,395","40,528","40,631","34,393","34,613","31,444","30,870","32,227","28,590"
"referral:0","first_app:topfacemobappandroid","2016-06-01 00:00:00","175,480","95,736","72,854","69,401","27,306","81,818","73,612","63,075","46,527","40,572","53,324","42,728","44,440","41,225","47,283","31,383","23,568","32,574","19,890","19,889"
"referral:0","first_app:topfacemobappandroid","2016-07-01 00:00:00","408,433","195,076","110,556","59,659","35,688","114,179","85,065","90,704","71,051","71,968","56,870","63,073","58,294","44,710","51,113","53,921","47,142","46,294","32,405","37,109"
"referral:0","first_app:topfacemobappandroid","2016-08-01 00:00:00","527,891","305,462","163,552","83,010","52,597","127,536","97,509","97,812","87,304","77,812","74,759","68,777","69,229","57,122","64,832","55,825","57,235","47,632","40,731","42,692"
"referral:0","first_app:topfacemobappandroid","2016-09-01 00:00:00","4,060","566,000","329,600","122,369","64,098","128,695","109,863","104,735","88,656","81,574","75,944","69,539","60,367","51,119","56,754","54,305","45,074","48,974","39,195","34,601"
"referral:0","first_app:topfacemobappandroid","2016-10-01 00:00:00",0,554,"591,272","275,307","110,385","201,245","129,238","129,875","121,263","94,242","87,646","76,271","68,654","63,556","85,015","56,748","66,182","50,161","44,887","45,967"
"referral:0","first_app:topfacemobappandroid","2016-11-01 00:00:00",0,0,172,"415,824","184,922","248,525","158,341","129,176","103,162","89,865","91,036","71,316","65,526","56,785","68,226","45,604","29,801","34,508","38,996","27,074"
"referral:0","first_app:topfacemobappandroid","2016-12-01 00:00:00",0,0,0,84,"315,680","390,069","202,373","157,841","113,317","82,868","71,532","60,064","52,974","52,400","54,672","57,660","56,918","43,579","39,552","46,265"
