"created per day",filters,"country: Descending",Count
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RU,"1,376"
"2017-12-01 00:00:00","first_app:topfacemobappandroid",US,457
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TR,299
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UA,279
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IN,139
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KZ,124
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NG,94
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BY,73
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MX,65
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DZ,42
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GH,42
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ID,41
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MA,38
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PK,36
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AE,33
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AR,33
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IT,29
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GB,28
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UZ,28
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BR,27
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CO,25
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DO,25
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AM,24
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NL,23
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SG,23
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DE,22
"2017-12-01 00:00:00","first_app:topfacemobappandroid",FR,22
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ES,21
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KG,21
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PH,21
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SA,19
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AZ,18
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CL,18
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GT,16
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EG,15
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TN,15
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BO,13
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CA,11
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CR,11
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TJ,11
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BD,10
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IL,10
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ZA,10
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PL,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UY,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BG,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EC,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LV,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AU,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CI,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LB,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MD,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PT,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CM,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",JO,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KW,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LK,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MY,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PY,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RO,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SY,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CH,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CY,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KE,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ML,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RS,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SV,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AL,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BE,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CZ,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HR,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IR,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KR,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MU,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NI,3
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NP,3
