"created per day",filters,"country: Descending",Count
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TR,"1,238"
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RU,875
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IN,537
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MX,261
"2017-12-01 00:00:00","first_app:topfacemobappandroid",US,259
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UA,235
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KZ,188
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CO,165
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BR,138
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ES,126
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ID,107
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AR,92
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DO,91
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MA,86
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PK,83
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CL,81
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DZ,77
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PH,76
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IT,72
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SA,68
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UZ,65
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EC,58
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PE,54
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SG,54
"2017-12-01 00:00:00","first_app:topfacemobappandroid",FR,53
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KG,53
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AM,45
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AE,41
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CR,41
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GT,41
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AZ,36
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EG,36
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RO,36
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BO,35
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ZA,35
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BY,34
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GB,33
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TN,33
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IQ,30
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TJ,27
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UY,25
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PT,24
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CA,21
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DE,20
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HN,20
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MD,18
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AU,17
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BD,17
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MY,17
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NI,17
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SV,17
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IL,16
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LB,16
"2017-12-01 00:00:00","first_app:topfacemobappandroid",JO,14
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MZ,14
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BE,13
"2017-12-01 00:00:00","first_app:topfacemobappandroid",VE,13
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PL,12
"2017-12-01 00:00:00","first_app:topfacemobappandroid",QA,12
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HU,11
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PY,11
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HT,10
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AL,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BG,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HR,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",YE,9
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CI,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GR,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LK,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NG,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PA,8
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CU,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KW,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MU,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NL,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NP,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",OM,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TZ,7
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AT,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BT,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GE,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IR,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LV,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PR,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SY,6
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CD,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CY,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ET,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",FI,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IE,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ML,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SN,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TH,5
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BA,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BZ,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CH,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CM,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CZ,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EE,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GQ,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",KE,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MK,4
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RS,4
