"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,117788373,"2018-04-09 14:20:21",6,"2018-04-09 18:27:45",167,116,67,"Деньги от Google Play",fb,Menu,TR,topfacemobappandroid
9365,63,"2018-04-01 12:06:43",117585827,"2018-04-01 12:06:42",4,"2018-05-04 14:06:58",1601,1120,147,"Деньги от Google Play",fb,TrialVipPopup,DE,topfacemobappandroid
,,,118313213,"2018-05-02 16:47:14",1,"2018-05-02 16:50:50",8999,8729,147,"Деньги от Payment Ninja",fb,LeftMenu,US,topfacemobappandroid
,,,118681425,"2018-05-13 01:08:34",3,"2018-05-13 13:11:21",924,646,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid
9553,63,"2018-05-09 20:41:07",118049771,"2018-04-21 00:05:19",2,"2018-05-12 23:19:17",516,141,19,"Деньги от PaymentWall (mobile)",fb,none,ES,topfacemobappandroid
,,,117701352,"2018-04-05 23:06:52",22,"2018-04-21 21:02:05",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,standalonetf
,,,118038117,"2018-04-20 12:59:48",1,"2018-04-20 13:28:49",161,112,147,"Деньги от Google Play",fb,LeftMenu,RU,topfacemobappandroid
,,,117599104,"2018-04-01 21:15:51",3,"2018-04-19 20:58:55",1913,1339,147,"Деньги от Google Play",fb,TrialVipPopup,RO,topfacemobappandroid
9365,63,"2018-04-26 21:05:45",118170650,"2018-04-26 21:05:43",1,"2018-05-03 19:43:19",4999,4849,147,"Деньги от Payment Ninja",fb,promo.key31,UY,topfacemobappandroid
,,,117579970,"2018-04-01 04:16:32",10,"2018-05-04 07:05:30",944,660,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid
,,,117648212,"2018-04-03 17:42:25",1,"2018-04-13 17:35:33",999,969,147,"Деньги от Payment Ninja",fb,Dating,DZ,topfacemobappandroid
,,,118107759,"2018-04-23 18:04:46",3,"2018-04-24 06:26:08",1595,1116,147,"Деньги от Google Play",fb,ownProfile,AR,topfacemobappandroid
9630,63,"2018-05-01 02:18:02",118269966,"2018-04-30 23:57:11",4,"2018-05-01 16:18:57",1000,970,19,"Деньги от Payment Ninja",fb,Menu,DE,topfacemobappandroid
,,,117946774,"2018-04-16 23:43:07",1,"2018-04-17 19:58:30",510,172,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid
,,,118396005,"2018-05-05 09:25:38",13,"2018-05-05 12:29:29",2500,2425,19,"Деньги от Payment Ninja",fb,Gifts,US,topfacemobappandroid
9553,63,"2018-04-23 11:15:39",118100964,"2018-04-23 11:15:37",5,"2018-04-26 13:15:48",1399,979,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid
,,,118455713,"2018-05-07 02:01:02",1,"2018-05-08 01:10:18",398,278,147,"Деньги от Google Play",fb,promo.key31,EG,topfacemobappandroid
9553,63,"2018-05-01 18:41:05",118286225,"2018-05-01 18:41:03",4,"2018-05-04 20:49:16",1391,973,147,"Деньги от Google Play",fb,ownProfile,MY,topfacemobappandroid
,,,117788373,"2018-04-09 14:20:21",7,"2018-04-09 18:29:23",53,37,146,"Деньги от Google Play",fb,Menu,TR,topfacemobappandroid
,,,118342626,"2018-05-03 12:21:03",2,"2018-05-04 10:28:29",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,TJ,topfacemobappandroid
,,,117701352,"2018-04-05 23:06:52",10,"2018-04-21 20:46:53",285,277,68,"Деньги от Ninja",fb,superPopupFromBlockExpressMessages,RU,standalonetf
,,,118415033,"2018-05-05 23:00:23",1,"2018-05-11 22:13:18",928,649,147,"Деньги от Google Play",fb,LeftMenu,IN,topfacemobappandroid
9365,63,"2018-04-02 00:57:19",117605408,"2018-04-02 00:57:16",10,"2018-04-05 03:30:02",1318,922,147,"Деньги от Google Play",fb,AutoReplyMessage,CO,topfacemobappandroid
9555,63,"2018-05-14 13:37:15",118729134,"2018-05-14 13:37:13",2,"2018-05-14 15:39:12",499,349,147,"Деньги от Google Play",fb,Dating,IN,topfacemobappandroid
,,,117744173,"2018-04-08 00:26:21",8,"2018-04-24 12:27:53",165,115,67,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,118421732,"2018-05-06 05:05:59",3,"2018-05-06 05:24:37",94,65,77,"Деньги от Google Play",fb,BadaboomFilterScreen,RU,topfacemobappandroid
9366,63,"2018-04-17 22:25:59",117975698,"2018-04-17 22:25:57",1,"2018-04-17 22:27:10",554,387,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid
,,,118441894,"2018-05-06 19:08:18",1,"2018-05-06 20:29:27",886,620,147,"Деньги от Google Play",fb,Dating,DE,topfacemobappandroid
,,,118455713,"2018-05-07 02:01:02",3,"2018-05-09 10:33:48",397,277,19,"Деньги от Google Play",fb,EmptyLikes,EG,topfacemobappandroid
,,,117798415,"2018-04-09 21:51:31",2,"2018-04-18 13:40:05",286,278,147,"Деньги от Payment Ninja",fb,Dating,RU,topfacemobappandroid
,,,117715447,"2018-04-06 19:37:39",3,"2018-04-12 14:45:08",1539,1077,147,"Деньги от Google Play",fb,ownProfile,CL,topfacemobappandroid
,,,118113561,"2018-04-23 22:47:46",11,"2018-05-02 22:39:58",460,446,19,"Деньги от Payment Ninja",fb,Menu,RU,topfacemobappandroid
,,,118515437,"2018-05-08 08:52:51",5,"2018-05-11 10:54:16",1389,972,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid
9555,63,"2018-05-12 20:27:14",118672379,"2018-05-12 20:27:06",3,"2018-05-14 20:41:40",87,60,19,"Деньги от Google Play",fb,EmptyLikes,IN,topfacemobappandroid
,,,117740205,"2018-04-07 21:25:46",15,"2018-04-14 22:43:31",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,topfacemobappandroid
,,,118462569,"2018-05-07 06:54:40",1,"2018-05-09 21:41:33",510,297,68,"Деньги от PaymentWall (mobile)",fb,none,DE,topfacemobappandroid
,,,117812785,"2018-04-10 21:37:17",2,"2018-04-10 21:51:41",94,91,19,"Деньги от Payment Ninja",fb,AdToPhotoBlog,RU,topfacemobappandroid
,,,118359608,"2018-05-04 00:53:06",1,"2018-05-04 12:34:10",156,109,147,"Деньги от Google Play",fb,Visitors,RU,topfacemobappandroid
